"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.851522826E1,6.868073667E1,2.766129667E1,1.323223460E2,8.070844412E-1,1.041699982E2,1.600000024E0,1.360000038E1
7.951522826E1,6.868073500E1,2.766130667E1,1.321223613E2,7.983341813E-1,1.051699982E2,1.600000024E0,1.430000019E1
8.051522826E1,6.868073000E1,2.766132000E1,1.319223866E2,8.024519682E-1,1.131999969E2,1.600000024E0,1.489999962E1
8.151522826E1,6.868072333E1,2.766133500E1,1.317224168E2,8.142905831E-1,1.170800018E2,1.600000024E0,1.560000038E1
8.251522826E1,6.868071833E1,2.766135333E1,1.313224483E2,8.132610917E-1,1.050500031E2,1.600000024E0,1.500000000E1
8.351522826E1,6.868071667E1,2.766136500E1,1.311224658E2,8.055402637E-1,9.958999634E1,1.600000024E0,1.489999962E1
8.451522826E1,6.868072000E1,2.766138000E1,1.310224788E2,7.787747383E-1,8.609999847E1,1.600000024E0,1.519999981E1
8.551522826E1,6.868072000E1,2.766140000E1,1.309225037E2,7.571563721E-1,8.375000000E1,1.600000024E0,1.539999962E1
8.651522826E1,6.868071833E1,2.766142167E1,1.305225336E2,7.587005496E-1,9.783999634E1,1.500000000E0,1.510000038E1
8.751522826E1,6.868071500E1,2.766144667E1,1.303225706E2,7.777453065E-1,1.195299988E2,1.600000024E0,1.620000076E1
8.851522826E1,6.868071000E1,2.766146833E1,1.301226063E2,7.772305608E-1,1.127200012E2,1.700000048E0,1.460000038E1
8.951522826E1,6.868070667E1,2.766149167E1,1.302226411E2,7.993636131E-1,1.235899963E2,1.700000048E0,1.380000019E1
9.051522826E1,6.868070167E1,2.766150833E1,1.299226706E2,7.844366431E-1,1.207399979E2,1.700000048E0,1.419999981E1
9.151522826E1,6.868069500E1,2.766152833E1,1.298227070E2,7.823777795E-1,1.311600037E2,1.600000024E0,1.419999981E1
9.251522826E1,6.868068833E1,2.766154500E1,1.297227393E2,7.823777795E-1,1.393300018E2,1.700000048E0,1.489999962E1
9.351522826E1,6.868068167E1,2.766156167E1,1.300227716E2,7.859808207E-1,1.350299988E2,1.600000024E0,1.369999981E1
9.451522826E1,6.868067333E1,2.766158000E1,1.300228089E2,8.065696955E-1,1.319499969E2,1.600000024E0,1.439999962E1
9.551522826E1,6.868066667E1,2.766160333E1,1.300228495E2,8.086286187E-1,1.346900024E2,1.600000024E0,1.469999981E1
9.651522826E1,6.868066333E1,2.766162667E1,1.301228844E2,7.921574712E-1,1.230800018E2,1.700000048E0,1.580000019E1
9.751522826E1,6.868066333E1,2.766165000E1,1.304229135E2,7.725980282E-1,1.250400009E2,1.700000048E0,1.550000000E1
9.851522826E1,6.868066167E1,2.766166833E1,1.304229393E2,7.674508095E-1,1.226500015E2,1.700000048E0,1.539999962E1
9.951522826E1,6.868065833E1,2.766168500E1,1.307229658E2,7.463472486E-1,1.292500000E2,1.700000048E0,1.410000038E1
1.005152283E2,6.868065500E1,2.766170167E1,1.309229924E2,7.556121945E-1,1.317299957E2,1.700000048E0,1.500000000E1
1.015152283E2,6.868065167E1,2.766171833E1,1.310230189E2,7.509797215E-1,1.323399963E2,1.700000048E0,1.410000038E1
1.025152283E2,6.868064667E1,2.766172000E1,1.311230296E2,7.401705384E-1,1.463399963E2,1.700000048E0,1.400000000E1
1.035152283E2,6.868063833E1,2.766172500E1,1.313230503E2,7.324497104E-1,1.565800018E2,1.700000048E0,1.389999962E1
1.045152283E2,6.868063167E1,2.766173333E1,1.312230722E2,7.098019719E-1,1.625200043E2,1.700000048E0,1.260000038E1
1.055152283E2,6.868062500E1,2.766174000E1,1.311230920E2,6.964191794E-1,1.663899994E2,1.700000048E0,1.310000038E1
1.065152283E2,6.868061833E1,2.766174833E1,1.312231139E2,6.948750019E-1,1.715500031E2,1.700000048E0,1.189999962E1
1.075152283E2,6.868061167E1,2.766176000E1,1.311231400E2,6.789186001E-1,1.646900024E2,1.600000024E0,1.269999981E1
1.085152283E2,6.868060333E1,2.766176500E1,1.311231606E2,6.974486113E-1,1.658399963E2,1.700000048E0,1.360000038E1
1.095152283E2,6.868059333E1,2.766177500E1,1.311231903E2,7.056841850E-1,1.562200012E2,1.600000024E0,1.200000000E1
1.105152283E2,6.868058667E1,2.766178000E1,1.311232081E2,6.969338655E-1,1.636600037E2,1.700000048E0,1.189999962E1
1.115152283E2,6.868057833E1,2.766178000E1,1.312232224E2,6.840658188E-1,1.744400024E2,1.700000048E0,1.200000000E1
1.125152283E2,6.868057333E1,2.766177000E1,1.311232186E2,6.696535945E-1,1.913500061E2,1.600000024E0,1.130000019E1
1.135152283E2,6.868056667E1,2.766175167E1,1.310232072E2,6.624475121E-1,2.110599976E2,1.600000024E0,1.169999981E1
1.145152283E2,6.868056167E1,2.766173500E1,1.309231950E2,6.485499740E-1,2.216900024E2,1.600000024E0,1.139999962E1
1.155152283E2,6.868055667E1,2.766171833E1,1.308231828E2,6.135488749E-1,2.673800049E2,1.600000024E0,1.160000038E1
1.165152283E2,6.868055667E1,2.766170333E1,1.307231641E2,6.037691832E-1,2.697600098E2,1.600000024E0,1.189999962E1
